#CHR	START	END	SAMPLE	cn_normal	u_normal	cn_clone1	u_clone1	cn_clone2	u_clone2
chr1	1	66543336	bulk_08clone0_0clone1_02normal	1|1	0.200669	2|1	0	2|1	0.799331
chr1	1	66543336	bulk_0clone0_05clone1_05normal	1|1	0.50046	2|1	0.49954	2|1	0
chr1	66543336	75674660	bulk_08clone0_0clone1_02normal	1|1	0.200669	0|2	0	2|0	0.799331
chr1	66543336	75674660	bulk_0clone0_05clone1_05normal	1|1	0.50046	0|2	0.49954	2|0	0
chr1	75674660	75776473	bulk_08clone0_0clone1_02normal	1|1	0.200669	2|0	0	2|0	0.799331
chr1	75674660	75776473	bulk_0clone0_05clone1_05normal	1|1	0.50046	2|0	0.49954	2|0	0
chr1	75776473	116861297	bulk_08clone0_0clone1_02normal	1|1	0.200669	2|0	0	3|1	0.799331
chr1	75776473	116861297	bulk_0clone0_05clone1_05normal	1|1	0.50046	2|0	0.49954	3|1	0
chr1	116861297	116941321	bulk_08clone0_0clone1_02normal	1|1	0.200669	2|0	0	2|0	0.799331
chr1	116861297	116941321	bulk_0clone0_05clone1_05normal	1|1	0.50046	2|0	0.49954	2|0	0
chr1	116941321	121500001	bulk_08clone0_0clone1_02normal	1|1	0.200669	0|2	0	2|0	0.799331
chr1	116941321	121500001	bulk_0clone0_05clone1_05normal	1|1	0.50046	0|2	0.49954	2|0	0
chr1	128900000	170981025	bulk_08clone0_0clone1_02normal	1|1	0.200669	0|2	0	2|0	0.799331
chr1	128900000	170981025	bulk_0clone0_05clone1_05normal	1|1	0.50046	0|2	0.49954	2|0	0
chr1	170981025	171041581	bulk_08clone0_0clone1_02normal	1|1	0.200669	2|0	0	2|0	0.799331
chr1	170981025	171041581	bulk_0clone0_05clone1_05normal	1|1	0.50046	2|0	0.49954	2|0	0
chr1	171041581	188825614	bulk_08clone0_0clone1_02normal	1|1	0.200669	2|0	0	3|2	0.799331
chr1	171041581	188825614	bulk_0clone0_05clone1_05normal	1|1	0.50046	2|0	0.49954	3|2	0
chr1	188825614	188830554	bulk_08clone0_0clone1_02normal	1|1	0.200669	2|0	0	2|0	0.799331
chr1	188825614	188830554	bulk_0clone0_05clone1_05normal	1|1	0.50046	2|0	0.49954	2|0	0
chr1	188830554	233444306	bulk_08clone0_0clone1_02normal	1|1	0.200669	2|0	0	3|2	0.799331
chr1	188830554	233444306	bulk_0clone0_05clone1_05normal	1|1	0.50046	2|0	0.49954	3|2	0
chr1	233444306	249250622	bulk_08clone0_0clone1_02normal	1|1	0.200669	2|2	0	2|2	0.799331
chr1	233444306	249250622	bulk_0clone0_05clone1_05normal	1|1	0.50046	2|2	0.49954	2|2	0
chr10	1	2726407	bulk_08clone0_0clone1_02normal	1|1	0.200669	0|2	0	2|0	0.799331
chr10	1	2726407	bulk_0clone0_05clone1_05normal	1|1	0.50046	0|2	0.49954	2|0	0
chr10	2726407	38000001	bulk_08clone0_0clone1_02normal	1|1	0.200669	2|1	0	2|1	0.799331
chr10	2726407	38000001	bulk_0clone0_05clone1_05normal	1|1	0.50046	2|1	0.49954	2|1	0
chr10	42300000	42359747	bulk_08clone0_0clone1_02normal	1|1	0.200669	2|1	0	2|1	0.799331
chr10	42300000	42359747	bulk_0clone0_05clone1_05normal	1|1	0.50046	2|1	0.49954	2|1	0
chr10	42359747	42403653	bulk_08clone0_0clone1_02normal	1|1	0.200669	2|0	0	2|0	0.799331
